Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
0,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.1,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.2,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.3,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.4,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.5,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.6,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.7,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.8,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
0.9,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.1,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.2,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.3,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.4,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.5,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.6,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.7,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.8,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
1.9,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.1,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.2,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.3,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.4,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.5,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.6,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.7,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.8,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
2.9,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.1,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.2,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.3,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.4,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.5,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.6,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.7,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.8,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
3.9,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.1,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.2,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.3,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.4,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.5,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.6,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.7,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.8,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
4.9,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
5,10000,10000,10000,10000,80000,80000,10000,10000,40000,40000
5.1,10100,10100,10187.5,10187.5,80000,80300,10000,10037.5,40000,40100
5.2,10195,10195,10369.53125,10369.53125,80018.75,80606.25,10000,10075.78125,39990,40198.75
5.3,10285.25,10285.25,10546.08398,10546.08398,80055.70313,80918.29688,10000,10114.78711,39970.5,40296.26563
5.4,10370.9875,10370.9875,10717.16418,10717.16418,80110.31152,81235.71191,10000.00989,10154.46399,39941.975,40392.5623
5.5,10452.43813,10452.43813,10882.79189,10882.79189,80182.02695,81558.08859,10000.04804,10194.76107,39904.87724,40487.65528
5.6,10529.81622,10529.81622,11042.99966,11042.99966,80270.30134,81885.04052,10000.14003,10235.63007,39859.63823,40581.55958
5.7,10603.32541,10603.32541,11197.83114,11197.83114,80374.5873,82216.19966,10000.31745,10277.02496,39806.67061,40674.29009
5.8,10673.15914,10673.15914,11347.33978,11347.33978,80494.33867,82551.21458,10000.61687,10318.90182,39746.36982,40765.86146
5.9,10739.50118,10739.50118,11491.58764,11491.58764,80629.01096,82889.749,10001.0788,10361.21862,39679.11559,40856.2882
6,10802.52612,10802.52612,11630.64435,11630.64435,80778.06184,83231.48043,10001.74685,10403.93505,39605.27335,40945.58459
6.1,10862.39982,10862.39982,11764.58604,11764.58604,80940.95159,83576.09893,10002.6669,10447.01237,39525.19542,41033.76479
6.2,10919.27982,10919.27982,11893.49452,11893.49452,81117.14351,83923.30605,10003.88637,10490.41326,39439.22213,41120.84273
6.3,10973.31583,10969.40948,12017.45646,12017.45646,81306.10432,84272.81379,10005.45361,10534.10172,39347.68279,41206.83219
