"Time","Shipment Rate","Desired Shipment Rate","Customer Order Rate","Inventory","Desired Inventory","Production Rate","Desired Production","WIP Inventory","Desired WIP","Inventory Coverage","Order Fulfillment Ratio","WIP Coverage","Backlog","Delivery Delay","Material Usage Rate","Desired Material Usage Rate","Desired Material Inventory","Material Inventory","Material Delivery Rate","Desired Material Delivery Rate"
"0","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.1","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.2","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.3","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.4","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.5","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.6","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.7","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.8","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"0.9","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.1","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.2","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.3","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.4","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.5","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.6","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.7","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.8","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"1.9","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.1","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.2","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.3","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.4","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.5","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.6","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.7","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.8","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"2.9","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.1","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.2","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.3","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.4","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.5","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.6","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.7","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.8","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"3.9","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.1","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.2","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.3","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.4","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.5","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.6","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.7","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.8","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"4.9","10000","10000","10000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"5","10000","10000","12000","40000","40000","10000","10000","80000","80000","4","1","8","20000","2","10000","10000","20000","20000","10000","10000"
"5.1","10100","10100","12000","40000","40100","10000","10037.5","80000","80300","3.96039603960396","1","8","20200","2","10187.5","10187.5","20375","20000","10375","10375"
"5.2","10195","10195","12000","39990","40198.75","10000","10075.78125","80018.75","80606.25","3.92251103482099","1","8.001875","20390","2","10369.53125","10369.53125","20739.0625","20018.75","10729.6875","10729.6875"
"5.3","10285.25","10285.25","12000","39970.5","40296.265625","10000","10114.787109375","80055.703125","80918.296875","3.88619625191415","1","8.0055703125","20570.5","2","10546.083984375","10546.083984375","21092.16796875","20054.765625","11064.78515625","11064.78515625"
"5.4","10370.9875","10370.9875","12000","39941.975","40392.5623046875","10000.0098876953","10154.4639892578","80110.3115234375","81235.7119140625","3.85131840145405","1","8.01102323128806","20741.975","2","10717.1641845703","10717.1641845703","21434.3283691406","20106.6357421875","11381.0104980469","11381.0104980469"
"5.5","10452.438125","10452.438125","12000","39904.8772387695","40487.6552758789","10000.0480377197","10194.7610736084","80182.026953125","81558.0885888672","3.81775780555214","1","8.01816417788015","20904.87625","2","10882.7918914795","10882.7918914795","21765.583782959","20173.0203735352","11679.0735961914","11679.0735961914"
"5.6","10529.81621875","10529.81621875","12000","39859.6382300415","40581.5595849304","10000.1400262451","10235.6300655937","80270.301338501","81885.0405247498","3.78540682970944","1","8.02691773593505","21059.6324375","2","11042.9996587181","11042.9996587181","22085.9993174362","20252.6485440063","11959.6750454331","11959.6750454331"
