Time,Actual Shipment Rate,Desired Shipment Rate,Inventory Coverage,Actual Inventory,Desired Inventory,Desired Production,Actual Production,Actual WIP,Desired WIP
0,10000,10000,4,40000,40000,10000,10000,80000,80000
0.1,10000,10000,4,40000,40000,10000,10000,80000,80000
0.2,10000,10000,4,40000,40000,10000,10000,80000,80000
0.3,10000,10000,4,40000,40000,10000,10000,80000,80000
0.4,10000,10000,4,40000,40000,10000,10000,80000,80000
0.5,10000,10000,4,40000,40000,10000,10000,80000,80000
0.6,10000,10000,4,40000,40000,10000,10000,80000,80000
0.7,10000,10000,4,40000,40000,10000,10000,80000,80000
0.8,10000,10000,4,40000,40000,10000,10000,80000,80000
0.9,10000,10000,4,40000,40000,10000,10000,80000,80000
1,10000,10000,4,40000,40000,10000,10000,80000,80000
1.1,10000,10000,4,40000,40000,10000,10000,80000,80000
1.2,10000,10000,4,40000,40000,10000,10000,80000,80000
1.3,10000,10000,4,40000,40000,10000,10000,80000,80000
1.4,10000,10000,4,40000,40000,10000,10000,80000,80000
1.5,10000,10000,4,40000,40000,10000,10000,80000,80000
1.6,10000,10000,4,40000,40000,10000,10000,80000,80000
1.7,10000,10000,4,40000,40000,10000,10000,80000,80000
1.8,10000,10000,4,40000,40000,10000,10000,80000,80000
1.9,10000,10000,4,40000,40000,10000,10000,80000,80000
2,10000,10000,4,40000,40000,10000,10000,80000,80000
2.1,10000,10000,4,40000,40000,10000,10000,80000,80000
2.2,10000,10000,4,40000,40000,10000,10000,80000,80000
2.3,10000,10000,4,40000,40000,10000,10000,80000,80000
2.4,10000,10000,4,40000,40000,10000,10000,80000,80000
2.5,10000,10000,4,40000,40000,10000,10000,80000,80000
2.6,10000,10000,4,40000,40000,10000,10000,80000,80000
2.7,10000,10000,4,40000,40000,10000,10000,80000,80000
2.8,10000,10000,4,40000,40000,10000,10000,80000,80000
2.9,10000,10000,4,40000,40000,10000,10000,80000,80000
3,10000,10000,4,40000,40000,10000,10000,80000,80000
3.1,10000,10000,4,40000,40000,10000,10000,80000,80000
3.2,10000,10000,4,40000,40000,10000,10000,80000,80000
3.3,10000,10000,4,40000,40000,10000,10000,80000,80000
3.4,10000,10000,4,40000,40000,10000,10000,80000,80000
3.5,10000,10000,4,40000,40000,10000,10000,80000,80000
3.6,10000,10000,4,40000,40000,10000,10000,80000,80000
3.7,10000,10000,4,40000,40000,10000,10000,80000,80000
3.8,10000,10000,4,40000,40000,10000,10000,80000,80000
3.9,10000,10000,4,40000,40000,10000,10000,80000,80000
4,10000,10000,4,40000,40000,10000,10000,80000,80000
4.1,10000,10000,4,40000,40000,10000,10000,80000,80000
4.2,10000,10000,4,40000,40000,10000,10000,80000,80000
4.3,10000,10000,4,40000,40000,10000,10000,80000,80000
4.4,10000,10000,4,40000,40000,10000,10000,80000,80000
4.5,10000,10000,4,40000,40000,10000,10000,80000,80000
4.6,10000,10000,4,40000,40000,10000,10000,80000,80000
4.7,10000,10000,4,40000,40000,10000,10000,80000,80000
4.8,10000,10000,4,40000,40000,10000,10000,80000,80000
4.9,10000,10000,4,40000,40000,10000,10000,80000,80000
5,11920,12000,3.355704698,40000,40000,10000,10000,80000,80000
5.1,11915.2,12000,3.340942661,39808,40100,10061.5,10000,80000,80492
5.2,11910.412,12000,3.326205676,39616.48,40198.75,10122.47125,10000,80030.75,80979.77
5.3,11905.63597,12000,3.311493724,39425.4388,40296.26563,10182.91976,10000,80090.44813,81463.35808
5.4,11900.87188,12000,3.296806788,39234.8752,40392.5623,10242.85146,10000.01622,80177.3856,81942.81171
5.5,11896.11974,12000,3.282144976,39044.78964,40487.65528,10302.27202,10000.0783,80289.94043,82418.17619
5.6,11891.37964,12000,3.267508622,38855.18549,40581.55958,10361.18666,10000.22688,80426.57159,82889.49326
5.7,11886.65176,12000,3.252898378,38666.07022,40674.29009,10419.60001,10000.51131,80585.81365,83356.80005
5.8,11881.9364,12000,3.238315277,38477.45617,40765.86146,10477.51603,10000.98774,80766.27184,83820.12822
5.9,11874.46807,12000,3.224511708,38289.36131,40856.2882,10534.93791,10001.71734,80966.61749,84279.50328
6,11865.10431,12000,3.211272757,38102.08623,40945.58459,10591.83344,10002.76477,81185.58383,84734.66755
6.1,11855.79261,12000,3.198086667,37915.85228,41033.76479,10648.18026,10004.19687,81421.94489,85185.44208
6.2,11846.53464,12000,3.184956096,37730.69271,41120.84273,10703.97943,10006.0814,81674.51809,85631.83547
6.3,11837.33237,12000,3.171884189,37546.64738,41206.83219,10759.23115,10008.48607,81942.17376,86073.84919
6.4,11828.18814,12000,3.158874573,37363.76275,41291.74679,10813.9347,10011.47761,82223.83204,86511.47762
6.5,11819.10458,12000,3.145931355,37182.0917,41375.59995,10868.08852,10015.12099,82518.46003,86944.70816
6.6,11810.08467,12000,3.133059109,37001.69334,41458.40496,10921.69019,10019.47879,82825.06919,87373.52153
6.7,11801.13164,12000,3.12026286,36822.63275,41540.17489,10974.73649,10024.61064,83142.71294,87797.89193
6.8,11792.24903,12000,3.107548064,36644.98065,41620.92271,11027.22343,10030.57277,83470.48448,88217.78747
6.9,11783.44065,12000,3.094920584,36468.81303,41700.66117,11079.14631,10037.41762,83807.51469,88633.17049
7,11774.71054,12000,3.082386663,36294.21072,41779.40291,11130.49975,10045.19358,84152.97035,89043.998
7.1,11766.06295,12000,3.069952896,36121.25903,41857.16037,11181.27776,10053.94476,84506.05235,89450.22209
7.2,11757.50236,12000,3.057626195,35950.04721,41933.94587,11231.4738,10063.71082,84865.99414,89851.7904
7.3,11749.0334,12000,3.045413765,35780.66805,42009.77154,11281.08082,10074.52685,85232.06025,90248.64658
7.4,11740.66087,12000,3.033323064,35613.2174,42084.6494,11330.09135,10086.42335,85603.54496,90640.7308
7.5,11732.38968,12000,3.021361769,35447.79365,42158.59128,11378.49753,10099.42618,85979.77106,91027.9802
7.6,11724.22486,12000,3.009537748,35284.4973,42231.60889,11426.29117,10113.55659,86360.08865,91410.32938
7.7,11716.17152,12000,2.997859019,35123.43047,42303.71378,11473.46386,10128.83127,86743.87414,91787.71087
7.8,11708.23482,12000,2.986333719,34964.69644,42374.91736,11520.00695,10145.26243,87130.52924,92160.05563
7.9,11700.41996,12000,2.974970071,34808.3992,42445.23089,11565.91168,10162.85792,87519.48001,92527.29347
8,11692.73215,12000,2.963776349,34654.643,42514.6655,11611.16919,10181.62133,87910.17606,92889.35352
8.1,11685.1766,12000,2.952760845,34503.53192,42583.23219,11655.77058,10201.55215,88302.08972,93246.16464
8.2,11677.75847,12000,2.94193184,34355.16947,42650.94178,11699.70698,10222.64592,88694.71531,93597.65588
8.3,11670.48291,12000,2.931297572,34209.65822,42717.80501,11742.9696,10244.8944,89087.56844,93943.75682
8.4,11663.35497,12000,2.920866205,34067.09937,42783.83245,11785.54975,10268.28574,89480.18538,94284.39798
8.5,11656.37962,12000,2.910645805,33927.59244,42849.03454,11827.4389,10292.80468,89872.12241,94619.51119
8.6,11649.56175,12000,2.900644306,33791.23495,42913.42161,11868.62874,10318.43272,90262.95527,94949.02989
8.7,11642.9061,12000,2.890869492,33658.12205,42977.00384,11909.11118,10345.14834,90652.27861,95272.88948
8.8,11632.83463,12000,2.88221636,33528.34627,43039.79129,11948.87845,10372.92718,91039.70543,95591.02761
8.9,11620.23555,12000,2.874499004,33402.35553,43101.7939,11987.87827,10401.74221,91424.86667,95903.02618
9,11608.05062,12000,2.867019389,33280.50619,43163.02148,12026.06978,10431.56398,91807.38825,96208.55824
9.1,11596.28575,12000,2.859782713,33162.85753,43223.48371,12063.4492,10462.36079,92186.89733,96507.5936
